,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
468,Kitzas Nanovo Andrejevitj,Russian blue (RUS),1982-07-14,Hane,blå (x),(SE)SVERAK LO 35439,EC,(SE)SVERAK LO 31189,(SE)SVERAK LO 31270
469,Hy-Line's Dr.Zhivago of Tsar Blu,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-0802 V106,,(US)CFA 0500-000423 V105,(US)CFA 0501-000564 V104
470,Velva's Valerie Fair of Tsar Blu,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-1244 V107,CH,(US)CFA 0500-000739 V106,(US)CFA 0501-00290 V101
471,Velva's Hallelujah Baby of Sahara,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-0536 V104,,(US)CFA 0500-000356 V102,(US)CFA 501-000377 V102
472,Tsar Blu's Gingerella,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-1489 V109,CH,(US)CFA 500-0901 V107,(US)CFA 0501-000564 V104
473,Velva's Viking,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-0330 V102,,(US)CFA 0500-000234 V101,(US)CFA 0501-00290 V101
474,Velva's Miss Behavin,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-000377 V102,CH,(US)CFA 0500-000234 V101,(US)CFA 0501-00290 V101
475,Tsar Blu's Fitzwilliam of Velva,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-1255 V109,,(US)CFA 500-0802 V106,(US)CFA 501-1244 V107
476,Tsar Blu's Zsa Zsa,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-1737 V110,,(US)CFA 500-0536 V104,(US)CFA 501-1489 V109
477,Velva's Cobalt Baron of Tsar Blu,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-0901 V107,,(US)CFA 500-0330 V102,(US)CFA 501-000377 V102
478,Tsar Blu's Zabrielle,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-1700 V110,,(US)CFA 500-0802 V106,(US)CFA 501-1244 V107
479,Tsar Blu's Tsar Glow of Blue Pride,Russian blue (RUS),,Hane,blå (x),(US)CFA 500-1794 V112,,(US)CFA 500-1255 V109,(US)CFA 501-1737 V110
480,Tsar Blu's Zinnie of Blue Pride,Russian blue (RUS),,Hona,blå (x),(US)CFA 501-2316 V0881,,(US)CFA 500-0901 V107,(US)CFA 501-1700 V110
481,Blue Pride's Half A Tick,Russian blue (RUS),1981-05-27,Hona,blå (x),(SE)SVERAK LO 39212  (US)CFA 0501-78086,,(US)CFA 500-1794 V112,(US)CFA 501-2316 V0881
482,Tassebos Neverov,Russian blue (RUS),1983-05-22,Hane,blå (x),(SE)SVERAK LO 35933,CH,(SE)SVERAK LO 39204,(SE)SVERAK LO 31192
483,Ängvaktarns Bianca,Russian blue (RUS),1981-10-15,Hona,blå (x),(SE)SVERAK LO 39164,CH,(SE)SVERAK LO 31370,(SE)SVERAK LO 31061
484,Tipitins Chichow,Russian blue (RUS),1985-01-18,Hane,blå (x),(SE)SVERAK LO 43414,CH,(SE)SVERAK LO 35933,(SE)SVERAK LO 39164
485,Skvallergränds Gawaine,Russian blue (RUS),1982-04-12,Hane,blå (x),(SE)SVERAK LO 35324,"IP,,,CH",(SE)SVERAK LO 35016,(SE)SVERAK LO 21755
486,Rådsbackens Irina,Russian blue (RUS),1982-11-18,Hona,blå (x),(SE)SVERAK LO 35537,,(SE)SVERAK LO 39204,(SE)SVERAK LO 25555
487,Tarinas Sinaja Jelena,Russian blue (RUS),1984-05-08,Hona,blå (x),(SE)SVERAK LO 39935,GIC,(SE)SVERAK LO 35324,(SE)SVERAK LO 35537
488,Ozettas Blue Tarashan,Russian blue (RUS),,Hane,blå (x),(NO)NRR LO 3071,IC,(NO)NRR LO 2601,(NO)NRR LO 1783
