,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
68,Iris von Assindia,Helig birma (SBI),,Hona,brunmaskad (n),(DE)DEV B 563,IC,(FR)LOF 1861,(FR)LOF Riex 1162
69,Ghandi von Assindia,Helig birma (SBI),,Hane,blåmaskad (a),(GB)GCCF OS 186204 *IMP,,(DE)DEV B 570,(FR)LOF Riex 1162
70,Gunga Khinmyayin,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 189396,,(GB)GCCF OS 161638,(GB)GCCF OS 162946
71,Hamlet de Madalpour,Helig birma (SBI),,Hane,brunmaskad (n),(FR)LOF 2429  ACH 2054,,(FR)LOF 2047,(FR)LOF 1851
72,Jacynthe de Khlaramour,Helig birma (SBI),,Hona,blåmaskad (a),(PT)CPF LO 1152,,(FR)LOF 7853,(PT)CFP 1086
73,Koomtai Jasmine,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 214924,,(GB)GCCF OS 186204 *IMP,(GB)GCCF OS 189396
74,Solomon von Assindia,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 208747 *IMP-D,,(DE)DEV B 585*IMP,(DE)DEV B 563
75,Talmin Gold Leaf,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 245647,CH,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF OS 214924
76,Patrioona Fidelio,Helig birma (SBI),1977-05-29,Hane,brunmaskad (n),(GB)GCCF NS 054140  (SE)SVERAK LO 26320,,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 245647
77,Praha Hu-Tsung,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF OS 188501,CH,(GB)GCCF OS 161638,(GB)GCCF OS 145502
78,Sinh Bidde af Silverbäcken,Helig birma (SBI),1969-11-13,Hona,brunmaskad (n),(SE)SVERAK LO 14155,CH,(SE)SVERAK LO 12311,(SE)SVERAK RX 12314
79,Smokeyhill Nhan Leequon,Helig birma (SBI),,Hona,blåmaskad (a),(GB)GCCF OS 238653,,(GB)GCCF OS 188501,(GB)GCCF OS 152947
80,Sinh Kaigo af Silverbäcken,Helig birma (SBI),1973-12-08,Hane,brunmaskad (n),(SE)SVERAK LO 18790,IC,(SE)SVERAK LO 16125,(SE)SVERAK LO 14155
81,Fornhöjdens Alexandra,Helig birma (SBI),1973-01-25,Hona,brunmaskad (n),(SE)SVERAK RX 18069,,(SE)SVERAK RX 12313,(SE)SVERAK RX 12799
82,Sweet Valley's Queen Erotica,Helig birma (SBI),1972-11-02,Hona,brunmaskad (n),(SE)SVERAK LO 22755,,(SE)SVERAK LO 18790,(SE)SVERAK RX 18069
83,Sinh Zecilia af Silverbäcken,Helig birma (SBI),1978-02-17,Hona,brunmaskad (n),(SE)SVERAK LO 24892,,(SE)SVERAK LO 18214,(SE)SVERAK LO 12802
84,Fairy Queen's Alexandra,Helig birma (SBI),1979-05-03,Hona,blåmaskad (a),(SE)SVERAK LO 28093 A,,(SE)SVERAK LO 24832,(SE)SVERAK LO 24892
85,Sinh Frida af Silverbäcken,Helig birma (SBI),1978-05-20,Hona,brunmaskad (n),(SE)SVERAK LO 24935 B,,(SE)SVERAK LO 18214,(SE)SVERAK LO 20297
86,Blossom's Amore,Helig birma (SBI),1979-09-12,Hane,brunmaskad (n),(SE)SVERAK LO 30068,CH,(SE)SVERAK LO 24283,(SE)SVERAK LO 24935 B
